UIN,Grid Number,Batch Number,Description/Shape,Size,Glaze Type,Kiln,Material,Condition,Weight,Decoration Exterior,Decoration Interior,Qty,Remarks,Image,Box Label,Highlight
1038,F15,B067,Vase?,Large,B&W,Jingdezhen,Porcelain,Shard,33,Lotus,,1,Fluted,1038-IMG_2002.jpg1038-IMG_2001.jpg,,✓
1039,F15,B067,Vase,,B&W,Jingdezhen,Porcelain,Shard,6,,,1,Applique handle,1039-IMG_2004.jpg1039-IMG_2005.jpg,,✓
1040,F15,B067,Vases,,B&W,Jingdezhen,Porcelain,Shards,57,,,4,,1040-IMG_2006.jpg1040-IMG_2007.jpg,,
1041,E11,B044,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,167,Lotus panels,Ducks in lotus pond,1,,1041-IMG_2008.jpg1041-IMG_2009.jpg,,
1042,E11,B044,Ewer,,B&W,Jingdezhen,Porcelain,Handle shard,6,Peacock feathers?,,1,,1042-IMG_2011.jpg1042-IMG_2010.jpg,,✓
1043,E11,B044,Vases,,B&W,Jingdezhen,Porcelain,Shards,18,Lotus,,2,,1043-IMG_2013.jpg1043-IMG_2012.jpg,,
1044,E11,B044,Bowls,,B&W,Jingdezhen,Porcelain,Shards,32,,,3,,1044-IMG_2015.jpg1044-IMG_2014.jpg,,
1047,E15,B047,Vase?,,B&W,Jingdezhen,Porcelain,Shard,48,Lotus,,1,,1047-IMG_2021.jpg1047-IMG_2020.jpg,,
1051,E11,B044,Bowls,,B&W,Jingdezhen,Porcelain,Shards,178,,,7,2 vase shards,1051-IMG_2032.jpg1051-IMG_2033.jpg,,
1052,E20,B111,Bottle?,,B&W,Jingdezhen,Porcelain,Shard,37,Chrysanthemum scroll,,1,Luting for cylindrical neck?,1052-IMG_2048.jpg1052-IMG_2047.jpg,,✓
1053,E20,B111,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,58,,Lotus,1,,1053-IMG_2050.jpg1053-IMG_2049.jpg,,
1054,E20,B111,Bowl,,B&W,Jingdezhen,Porcelain,Shard,13,Lotus panels,,1,,1054-IMG_2051.jpg1054-IMG_2052.jpg,,
1055,E20,B111,Vase,,B&W,Jingdezhen,Porcelain,Shard,10,Lotus panels,,1,,1055-IMG_2054.jpg1055-IMG_2053.jpg,,
1056,E20,B117,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,477,Lotus panels,Ducks in lotus pond,2,,1056-IMG_2055.jpg1056-IMG_2056.jpg,,
1058,E20,B117,Vase,,B&W,Jingdezhen,Porcelain,Base,85,Lotus petals lotus panels,,1,High foot,1058-IMG_2061.jpg1058-IMG_2059.jpg1058-IMG_2060.jpg,,✓
1059,E20,B117,Guan?,,B&W,Jingdezhen,Porcelain,Shard,113,Vines,,1,,1059-IMG_2062.jpg1059-IMG_2063.jpg,,
1060,E20,B117,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,94,,Lotus bouquet,1,,1060-IMG_2065.jpg1060-IMG_2064.jpg,,
1061,E20,B117,Bowls,,B&W,Jingdezhen,Porcelain,Shards,32,,,7,2 vase shards,1061-IMG_2066.jpg1061-IMG_2067.jpg,,
1062,E20,B117,Bowl,Medium,B&W,Jingdezhen,Porcelain,Rim shard,34,Lotus lotus panels,Chrysanthemum scroll,1,Everted rim,1062-IMG_2069.jpg1062-IMG_2068.jpg,,
1063,E20,B117,Vase,Medium,B&W,Jingdezhen,Porcelain,Shard,28,Bird and cloud? scroll lotus panels,,1,Faceted luted,1063-IMG_2070.jpg1063-IMG_2071.jpg,,✓
1064,E20,B117,Vase,,B&W,Jingdezhen,Porcelain,Shard,34,Pine tree lotus petals,,1,,1064-IMG_2072.jpg1064-IMG_2073.jpg,,✓
1065,E20,B116,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base shard,269,Lotus panels,Ducks in lotus pond,1,,1065-IMG_2075.jpg1065-IMG_2074.jpg,,✓
1066,E20,B116,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,569,Lotus panels,Lotus bouquets,4,,1066-IMG_2078.jpg1066-IMG_2077.jpg,,
1067,E20,B116,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,280,Lotus panels,Ducks in lotus pond,2,,1067-IMG_2080.jpg1067-IMG_2079.jpg,,
1068,E20,B116,Guan?,,B&W,Jingdezhen,Porcelain,Shard,70,Floral,,1,,1068-IMG_2081.jpg1068-IMG_2082.jpg,,
1069,E20,B116,Bowls,,B&W,Jingdezhen,Porcelain,Shards,90,Lotus lotus panels,Scrolls,6,1 faceted rim shard,1069-IMG_2083.jpg1069-IMG_2084.jpg,,
1070,E20,B116,Vases,,B&W,Jingdezhen,Porcelain,Shards,67,Lotus pond,,3,,1070-IMG_2085.jpg1070-IMG_2086.jpg,,
1071,E20,B116,Cover,,B&W,Jingdezhen,Porcelain,Knob,15,Frett work,,1,,1071-IMG_2089.jpg1071-IMG_2088.jpg1071-IMG_2087.jpg,,✓
1072,E20,B116,Jarlet,,B&W,Jingdezhen,Porcelain,Shard,21,Floral,,1,Beaded ribs luted,1072-IMG_2091.jpg1072-IMG_2090.jpg,,✓
1074,E22,B131,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,213,Lotus panels,Ducks in lotus pond,1,,1074-IMG_2096.jpg1074-IMG_2095.jpg,,
1075,E22,B131,Bowl,Medium,B&W,Jingdezhen,Porcelain,Shard,71,Lotus panels lotus scroll,Lotus berries,1,,1075-IMG_2097.jpg1075-IMG_2098.jpg,,
1076,E22,B131,Guan?,,B&W,Jingdezhen,Porcelain,Shard,35,Peony,,1,,1076-IMG_2100.jpg1076-IMG_2099.jpg,,
