UIN,Grid Number,Batch Number,Description/Shape,Size,Glaze Type,Kiln,Material,Condition,Weight,Decoration Exterior,Decoration Interior,Qty,Remarks,Image,Box Label,Highlight
1,E16,B086,Bottle,Medium,B&W,Jingdezhen,Porcelain,Intact,685,Lotus plantain leaves lotus panels,,1,Long flanged neck.,1-a.jpg1-IMG_1360.jpg1-b.jpg,,✓
2,E16,B084,Vase,Medium,B&W,Jingdezhen,Porcelain,Neck and shoulder,245,Ducks in lotus pond lotus panels plantain leaves,,1,,2-E16-B084-Blue-and-white-Bottle-DSC_2335.jpg2-E16-B084-Blue-and-white-Bottle-DSC_2334.jpg2-IMG_1361.jpg,,✓
3,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Parts of rim broken,601,Lotus lotus panels,Lotus bouquets,1,PB087,3-Surface-Find-PB0087-GOT-DSC_0004.jpg3-a.jpg3-Surface-Find-PB0087-GOT-DSC_0007.jpg3-IMG_1362.jpg,,✓
4,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Chipped rim,605,Lotus petals fungus scrolls,Lotus scroll lotus band,1,PB036,4-Surface-Find-PB0036-GOT-DSC_9989.jpg4-Surface-Find-PB0036-GOT-DSC_9984.jpg4-IMG_1363.jpg4-a.jpg,,✓
5,SURVEY,SURVEY,Cover,Large,B&W,Jingdezhen,Porcelain,Knob missing,,Lotus panels scrolls,,1,PB035,5-a.jpg5-Surface-Find-PB0035-GOT-DSC_9742.jpg5-IMG_1364.jpg5-Surface-Find-PB0035-GOT-DSC_9741.jpg,,✓
6,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,465,Lotus panels,Ducks in lotus pond,1,PB041,6-a.jpg6-IMG_1365.jpg6-Surface-Find-PB0041-GOT-DSC_0002.jpg6-Surface-Find-PB0041-GOT-DSC_9998.jpg,,✓
7,E16,B082,Bowl,Large,B&W,Jingdezhen,Porcelain,Base,1662,Lotus panels,Peony,1,,7-E16-B082-Blue-and-white-Large-Bowl-DSC_2278.jpg7-IMG_1366.jpg7-a.jpg,,✓
8,E16,B090,Dish,Small,B&W,Jingdezhen,Porcelain,Half,75,,Ducks in lotus pond,1,,8-IMG_1367.jpg8-E16-B090-Blue-and-white-DSC_9879.jpg8-a.jpg8-b.jpg,,✓
9,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base to rim,251,,Mandarin ducks in lotus pond,1,PB084,9-Surface-Find-PB0084-GOT-DSC_0096.jpg9-Surface-Find-PB0084-GOT-DSC_0091.jpg9-a.jpg9-IMG_1368.jpg,,✓
21,E17,B095,Guan,Large,B&W,Jingdezhen,Porcelain,Lower body shard,1025,Peony lotus panels with lotus buds,,1,,21-b.jpg21-IMG_1397.jpg21-a.jpg,,
25,E16,B080,Vase,,B&W,Jingdezhen,Porcelain,Shard,33,Waves,,1,,25-P1190807.jpg25-P1190808.jpg25-IMG_1400.jpg,,
26,I12-I13,B078,Stem bowl,Medium,B&W,Jingdezhen,Porcelain,Cavetto and base,235,Lotus panels,Double vajra,1,,26-c.jpg26-b.jpg26-IMG_1401.jpg26-a.jpg,,
29,E17,B091,Dish,Medium,B&W,Jingdezhen,Porcelain,Base,285,Lotus panels,Ducks in lotus pond,1,Half intact,29-IMG_3513.jpg29-IMG_3514.jpg,,
30,E17,B091,Bowl,,B&W,Jingdezhen,Porcelain,Shard,38,Lotus panels,Lotus pond,1,,30-IMG_3549.jpg30-IMG_3548.jpg,,
31,E17,B091,Guan?,,B&W,Jingdezhen,Porcelain,Shards,183,Peony,,1,Eroded,31-b.jpg31-a.jpg,,
32,D12,B033,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,389,,Ducks in lotus pond,1,,32-IMG_4434.jpg32-IMG_4433.jpg,,
33,Eastern B&W area,B031,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,204,Lotus panels,Ducks in lotus pond,1,,33-b.jpg33-a.jpg,,
34,E17,B095,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,305,Lotus panels,Ducks in lotus pond,1,,34-IMG_3502.jpg34-IMG_3501.jpg,,
35,E17,B095,Bowl,Medium,B&W,Jingdezhen,Porcelain,Rim shard,49,Lotus panels lotus scroll,Chrysanthemum scroll,1,,35-IMG_3529.jpg35-IMG_3528.jpg,,
36,E16,B087,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,426,Lotus panels,Ducks in lotus pond,1,,36-IMG_3692.jpg36-IMG_3691.jpg,,
38,E16,B086,Vase,,B&W,Jingdezhen,Porcelain,Shard,11,Panels,,1,Faceted,38-IMG_3671.jpg38-IMG_3670.jpg,,
39,E17,B094,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,112,Lotus panels,Lotus,1,Speckled,39-IMG_3540.jpg39-IMG_3541.jpg,,
40,E16,B087,Bowl,,B&W,Jingdezhen,Porcelain,Shard,15,Lotus,,1,2 of 1,40-IMG_3842.jpg40-IMG_3841.jpg,,
41,D12,B026,Bowls,,B&W,Jingdezhen,Porcelain,Shards,52,,,4,Plantain leave is vase,41-b.jpg41-a.jpg,,
42,E16,B090,Guan,Large,B&W,Jingdezhen,Porcelain,Base shard,827,Peony?,,1,Diffused cobalt,42-IMG_4191.jpg42-IMG_4190.jpg,,✓
43,E16,B090,Vases,,B&W,Jingdezhen,Porcelain,Shards,54,Chrysanthemum in panels,,2,Faceted,43-IMG_3802.jpg43-IMG_3803.jpg,,
44,D12,B029,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,172,Lotus panels,Lotus bouquets,1,,44-IMG_4315.jpg44-IMG_4316.jpg,,
46,E16,B088,Bowl,Large,B&W,Jingdezhen,Porcelain,Shard,296,Lotus panels,Peony,1,,46-IMG_3760.jpg46-IMG_3761.jpg,,
47,E16,B088,Vase,,B&W,Jingdezhen,Porcelain,Shard,23,Waves lotus panels,,1,,47-IMG_3706.jpg47-IMG_3705.jpg,,
48,E16,B083,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,244,Lotus panels,Peony?,1,,48-IMG_3746.jpg48-IMG_3751.jpg,,
49,D12,B033,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,317,Lotus panels,Ducks in lotus pond,2,,49-IMG_4337.jpg49-IMG_4338.jpg,,
50,D12,B026,Bowl,Medium,B&W,Jingdezhen,Porcelain,Shard,184,Lotus panels,Ducks in lotus pond,1,,50-a.jpg50-b.jpg,,
51,E15,B047,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,170,Lotus panels,Lotus bouquets,1,,51-IMG_3998.jpg51-IMG_3999.jpg,,
53,E16,B090,Guan,Large,B&W,Jingdezhen,Porcelain,Shards,272,Peony,,1,,53-IMG_3655.jpg53-IMG_3654.jpg,,
54,E17,B095,Dish,Medium,B&W,Jingdezhen,Porcelain,Base shard,117,Lotus panels,Fungus scroll?,1,,54-IMG_3524.jpg54-IMG_3525.jpg,,
60,E11,B042,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,117,,Morning glory?,1,,60-IMG_4557.jpg060-IMG_4556.jpg,,
62,E17,B091,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,158,,Ducks in lotus pond,1,,62-IMG_3510.jpg62-IMG_3509.jpg,,
69,E18,B101,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,234,Lotus panels,Ducks in lotus pond,1,,69-IMG_1244.jpg69-IMG_1245.jpg,,
70,E13,B103,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,165,Lotus panels,Ducks in lotus pond,1,,70-IMG_1246.jpg70-IMG_1247.jpg,,
71,E17,B095,Vase,,B&W,Jingdezhen,Porcelain,Shard,16,Waves reverse decoration,,1,,71-IMG_3536.jpg71-IMG_3537.jpg,,
72,E17,B095,Guan?,,B&W,Jingdezhen,Porcelain,Shard,104,Lotus panels,,1,Faceted,72-IMG_3521.jpg72-IMG_3520.jpg,,
73,E20,B111,Dish,Medium,B&W,Jingdezhen,Porcelain,3/4 intact,274,Lotus scroll,Lotus bouquet,1,,73-IMG_1268.jpg73-IMG_1269.jpg,,
74,E20,B111,Vase,Medium,B&W,Jingdezhen,Porcelain,Shards,154,Ducks in lotus pond,,2,,74-IMG_1271.jpg74-IMG_1270.jpg,,
75,E20,B111,Bowls,Small & medium,B&W,Jingdezhen,Porcelain,Bases,135,Lotus panels,Lotus bouquet,2,,75-IMG_4377.jpg75-IMG_4378.jpg,,
76,E11,B043,Guan,Large,B&W,Jingdezhen,Porcelain,Handle only,110,Monster head,,1,,76-IMG_1275.jpg76-IMG_1274.jpg,,✓
77,D11,B037,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,202,,Lotus bouquet,1,,77-IMG_4428.jpg77-IMG_4429.jpg,,
78,D13,B013,Bowls,,B&W,Jingdezhen,Porcelain,Shards,113,,,7,,78-IMG_1279.jpg78-IMG_1278.jpg,,
79,E23,B144,Stem Bowl,Medium,B&W,Jingdezhen,Porcelain,Stem and base,283,Lotus panels,Ducks in lotus pond,1,,79-IMG_1280.jpg79-IMG_1281.jpg79-IMG_1282.jpg,,
80,E23,B144,Flask,Large,B&W,Jingdezhen,Porcelain,Base,400,Lotus waves,,1,Diffused cobalt,80-IMG_1285.jpg80-IMG_1286.jpg80-IMG_1283.jpg80-IMG_1284.jpg80-IMG_1287.jpg,,
81,E23,B144,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,100,,Lotus bouquet,1,Shufu shape,81-IMG_4256.jpg81-IMG_4255.jpg81-IMG_4254.jpg,,
82,E23,B144,Vases,,B&W,Jingdezhen,Porcelain,Shards,16,,,3,,82-IMG_1292.jpg82-IMG_1291.jpg,,
83,E11,B043,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,504,Lotus panels,Ducks in lotus pond,2,,83-IMG_1295.jpg83-IMG_1294.jpg,,
84,E11,B043,Vase,,B&W,Jingdezhen,Porcelain,Shoulder Shard,58,Lotus scroll,,1,,84-IMG_4291.jpg84-IMG_4292.jpg,,
85,E11,B043,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,64,,Lotus bouquet,1,Shufu shape?,85-IMG_4301.jpg85-IMG_4302.jpg,,
86,E11,B043,Bowls,,B&W,Jingdezhen,Porcelain,Shards,84,,,15,,86-IMG_1301.jpg86-IMG_1300.jpg,,
87,E11,,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,524,Lotus panels,Ducks in lotus pond,2,,87-IMG_1303.jpg87-IMG_1302.jpg,,
88,E11,B3?,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,290,Lotus panels,Peony?,1,,88-IMG_3752.jpg88-IMG_3651.jpg,,✓
89,E16,B3?,Vase,,B&W,Jingdezhen,Porcelain,Shard,25,Chrysanthemum in panels,,1,Faceted,89-IMG_3830.jpg89-IMG_3829.jpg,,
90,E16,B3?,Bowl,,B&W,Jingdezhen,Porcelain,Shards,30,Lotus panels,Lotus pond,1,,90-IMG_3834.jpg90-IMG_3833.jpg,,
94,E16,Unknown,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,94,,Lotus bouquet,1,Shufu shape,94-IMG_3756.jpg94-IMG_3757.jpg,,
95,E16,Unknown,Vase,Medium,B&W,Jingdezhen,Porcelain,Shard,53,Morning glory,,1,,95-IMG_3659.jpg95-IMG_3658.jpg,,
96,E16,Unknown,Cover,Small,B&W,Jingdezhen,Porcelain,Rim shard,7,Frett work,,1,,96-IMG_1320.jpg96-IMG_1321.jpg,,
99,E18,B101,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,114,Lotus panels,Dragon,1,,99-IMG_1328.jpg99-IMG_1329.jpg,,✓
114,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,177,Lotus panels,Lotus scrolls,1,PB0015,114-Surface-Find-PB0015-DSC_0127.jpg114-Surface-Find-PB0015-DSC_0132.jpg,,
116,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,233,Lotus panels,Ducks in lotus pond,1,PB0018,116-Surface-Find-PB0018-DSC_9832.jpg116-Surface-Find-PB0018-DSC_9830.jpg,,
117,SURVEY,SURVEY,Vase,,B&W,Jingdezhen,Porcelain,Base shard,37,Lotus panels,,1,PB0019,117-Surface-Find-PB0019-DSC_9844.jpg117-Surface-Find-PB0019-DSC_9846.jpg,,
118,SURVEY,SURVEY,Dish?,,B&W,Jingdezhen,Porcelain,Base shard?,59,Lotus panels,,1,PB0020,118-Surface-Find-PB0020-DSC_9875.jpg118-Surface-Find-PB0020-DSC_9873.jpg,,
119,SURVEY,SURVEY,Bowl,Small,B&W,Jingdezhen,Porcelain,Shard,5,,,1,PB0021,119-Surface-Find-PB0021-DSC_9837.jpg119-Surface-Find-PB0021-DSC_9835.jpg,,
120,SURVEY,SURVEY,Bowl,Small,B&W,Jingdezhen,Porcelain,Shard,4,,,2,PB0022 a&b,120-Surface-Find-PB00022a-DSC_9824.jpg120-Surface-Find-PB00022b-DSC_9826.jpg120-Surface-Find-PB00022b-DSC_9828.jpg120-Surface-Find-PB00022a-DSC_9822.jpg,,
125,SURVEY,SURVEY,Stem bowl,,B&W,Jingdezhen,Porcelain,Base with stem,337,Lotus panels,Ducks in lotus pond,1,PB0027,125-Surface-Find-PB0027-DSC_9728.jpg125-Surface-Find-PB0027-DSC_9730.jpg,,✓
129,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Shard,33,Lotus panels,Lotus pond,1,PB0031,129-Surface-Find-PB0031-DSC_0061.jpg129-Surface-Find-PB0031-DSC_0055.jpg,,
131,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,124,,Ducks in lotus pond,1,PB0033,131-Surface-Find-PB0033-DSC_9856.jpg131-Surface-Find-PB0033-DSC_9854.jpg,,
133,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,52,Lotus panels,Ducks in lotus pond,1,PB0037,133-Surface-Find-PB0037-DSC_9842.jpg133-Surface-Find-PB0037-DSC_9839.jpg,,
137,SURVEY,SURVEY,Bowl,Small,B&W,Jingdezhen,Porcelain,Rim shard,1,,,1,PB0042,137-Surface-Find-PB0042-DSC_9860.jpg137-Surface-Find-PB0042-DSC_9858.jpg,,
138,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,119,Lotus panels,Ducks in lotus pond,1,PB0043,138-Surface-Find-PB0043-DSC_9892.jpg138-Surface-Find-PB0043-DSC_9890.jpg,,
170,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,273,Lotus panels,Herons in lotus pond under willow,1,PB0077,170-Surface-Find-PB0077-DSC_0083.jpg170-Surface-Find-PB0077-DSC_0087.jpg,,✓
171,SURVEY,SURVEY,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,84,,Lotus bouquet,1,PB0078,171-Surface-Find-PB0078-DSC_0071.jpg171-Surface-Find-PB0078-DSC_0069.jpg,,
172,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,182,,Morning glory?,1,PB0079,172-IMG_4535.jpg172-Surface-Find-PB0079-DSC_0014.jpg172-Surface-Find-PB0079-DSC_0012.jpg,,
174,SURVEY,SURVEY,Vase,,B&W,Jingdezhen,Porcelain,Shard,13,,,1,PB0081,174-Surface-Find-PB0081-DSC_0122.jpg174-Surface-Find-PB0081-DSC_0125.jpg,,
176,SURVEY,SURVEY,Bowl,Small,B&W,Jingdezhen,Porcelain,Rim shard,5,,,1,PB0083,176-IMG_4536.jpg176-IMG_4584.jpg,,
177,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Rim shard,33,Lotus panels lotus scroll,Lotus scroll,1,PB0085,177-Surface-Find-PB0085-DSC_0101.jpg177-Surface-Find-PB0085-DSC_0103.jpg,,
178,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Rim shard,45,Lotus panels lotus scroll,Lotus pond,1,PB0086,178-Surface-Find-PB0086-DSC_0078.jpg178-Surface-Find-PB0086-DSC_0080.jpg,,
186,SURVEY,SURVEY,Vase,Tiny,B&W,Jingdezhen,Porcelain,Neck shard,9,Panels,,1,PB0102 faceted,186-Surface-Find-PB0102-DSC_0108.jpg186-Surface-Find-PB0102-DSC_0110.jpg,,
187,SURVEY,SURVEY,Vase,,B&W,Jingdezhen,Porcelain,Shard,5,Waves reverse decoration,,1,PB0103,187-Surface-Find-PB0103-DSC_0115.jpg187-Surface-Find-PB0103-DSC_0112.jpg,,
193,E16,B084,Bowl,,B&W,Jingdezhen,Porcelain,Shard,17,Lotus panels,Lotus,1,,193-E16-B084-Blue-and-White-DSC_0597.jpg193-E16-B084-Blue-and-White-DSC_0599.jpg,,
200,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,250,Lotus panels,Lotus bouquets,1,,200-IMG_3701.jpg200-IMG_3702.jpg,,
205,E16,B086,Bowl,,B&W,Jingdezhen,Porcelain,Base,306,Lotus panels,Ducks in lotus pond,1,,205-IMG_3677.jpg205-IMG_3676.jpg,,
212,E16,B085,Bowl,,B&W,Jingdezhen,Porcelain,Base,334,Lotus panels,Ducks in lotus pond,1,,212-IMG_3714.jpg212-IMG_3713.jpg,,
214,E16,B086,Vase,,B&W,Jingdezhen,Porcelain,Shard,14,Dragon,,1,3 claw,214-IMG_3826.jpg214-IMG_4161.jpg,,
215,E16,B086,Bowl,,B&W,Jingdezhen,Porcelain,Base,406,Lotus panels,Ducks in lotus pond,1,,215-IMG_3664.jpg215-IMG_3665.jpg,,
222,E16,B086,Bowl,,B&W,Jingdezhen,Porcelain,Shard,76,Lotus panels,,1,,222-E16-B086-Blue-and-White-DSC_0743.jpg222-E16-B086-Blue-and-White-DSC_0742.jpg,,
227,E16,B086,Vase,,B&W,Jingdezhen,Porcelain,Shard,10,Lotus panels,,1,,227-IMG_3846.jpg227-IMG_3845.jpg,,
233,E16,B086,Vase?,,B&W,Jingdezhen,Porcelain,Shard,163,Peony floral in lappet,,1,,233-IMG_3788.jpg233-IMG_3789.jpg,,
237,E16,B085,Vase,,B&W,Jingdezhen,Porcelain,Shard,23,Lotus in panels,,1,,237-E16-B085-Blue-and-White-DSC_0810.jpg237-E16-B085-Blue-and-White-DSC_0807.jpg,,
242,E16,B085,Bowl?,Small,B&W,Jingdezhen,Porcelain,Base,37,,Prunus,1,Base type unknown,242-E16-B085-Blue-and-White-DSC_0826.jpg242-E16-B085-Blue-and-White-DSC_0825.jpg,,
247,E16,B086,Bowl,,B&W,Jingdezhen,Porcelain,Base,179,Lotus panels,Ducks in lotus pond,1,,247-E16-B086-Blue-and-White-DSC_0869.jpg247-E16-B086-Blue-and-White-DSC_0868.jpg,,
252,E16,B089,Bowl,,B&W,Jingdezhen,Porcelain,Shard,26,Lotus panels,,1,,252-E16-B089-Blue-and-White-DSC_0893.jpg252-E16-B089-Blue-and-White-DSC_0892.jpg,,
258,E16,B089,Vase?,,B&W,Jingdezhen,Porcelain,Shard,20,,,1,Faceted,258-E16-B089-Blue-and-White-DSC_1104.jpg258-E16-B089-Blue-and-White-DSC_1105.jpg,,
263,E16,B089,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,151,,,1,Eroded,,,
277,E16,B089,Guan?,,B&W,Jingdezhen,Porcelain,Shard,42,Peony?,,1,Eroded,277-E16-B089-Turquoise-DSC_1061.jpg277-E16-B089-Turquoise-DSC_1060.jpg,,
280,E16,B089,Ewer,,B&W,Jingdezhen,Porcelain,Handle shard,30,Scroll,,1,Coin decoration,0280-IMG_3731.jpg0280-IMG_3730.jpg,,✓
306,E16,B087,Vases,,B&W,Jingdezhen,Porcelain,Shards,23,,,2,,306-IMG_3808.jpg306-IMG_3809.jpg,,
312,E16,B087,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,258,,Ducks in lotus pond,1,,312-IMG_3777.jpg312-IMG_3776.jpg,,
317,E16,B087,Vase,,B&W,Jingdezhen,Porcelain,Shard,19,Lotus panels lotus scroll,,1,,317-IMG_3823.jpg317-IMG_3822.jpg,,
324,E15,B056,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,211,,Ducks in lotus pond,1,,324-IMG_4021.jpg324-IMG_4023.jpg,,
337,E15,B055,Vase,,B&W,Jingdezhen,Porcelain,Shard,22,,,1,,337-E15-B055-Blue-and-white-DSC_1508.jpg337-E15-B055-Blue-and-white-DSC_1509.jpg,,
343,E15,B055,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,43,,Lotus bouquet,1,Shufu shape? Footring broken?,343-E15-B055-Blue-and-white-DSC_1563.jpg343-E15-B055-Blue-and-white-DSC_1562.jpg,,
351,E15,B056,Vase,,B&W,Jingdezhen,Porcelain,Shard,6,Lotus panels,,1,,351-E15-B056-Blue-and-white-DSC_1595.jpg351-E15-B056-Blue-and-white-DSC_1594.jpg,,
363,E15,B056,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,215,,Ducks in lotus pond,1,,363-IMG_4014.jpg363-IMG_4013.jpg,,
368,E15,B056,Vase,,B&W,Jingdezhen,Porcelain,Base shard,55,Lotus petals scroll,,1,,368-IMG_4008.jpg368-IMG_4006.jpg368-IMG_4005.jpg368-IMG_4004.jpg,,
375,E15,B056,Vases,,B&W,Jingdezhen,Porcelain,Shards,41,Lotus panels scroll,,2,,375-IMG_4538.jpg375-IMG_4539.jpg,,
386,E15,B058,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,229,Lotus panels,Ducks in lotus pond,1,,386-IMG_3972.jpg386-IMG_3973.jpg,,
387,E15,B057,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,241,Lotus panels,Ducks in lotus pond,1,,387-IMG_3982.jpg387-IMG_3981.jpg,,
391,G12,B059,Bowl,Small,B&W,Jingdezhen,Porcelain,,118,,,1,Shufu shape?,,,
397,E15,B060,Vase,,B&W,Jingdezhen,Porcelain,Shard,51,Lotus panels scroll,,1,,397-E15-B060-Blue-and-white-DSC_1928.jpg397-E15-B060-Blue-and-white-DSC_1927.jpg,,
406,E15,B060,Bowl,,B&W,Jingdezhen,Porcelain,Shard,12,,Chrysanthemum scroll,1,,406-E15-B060-Blue-and-white-DSC_1975.jpg406-E15-B060-Blue-and-white-DSC_1974.jpg,,
407,E15,B060,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base shard,72,,Dragon,1,Cross-hatched scales,407-E15-B060-Blue-and-white-DSC_1982.jpg407-E15-B060-Blue-and-white-DSC_1983.jpg,,
408,E15,B055,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,118,,Fungus?,1,,408-E15-B055-Blue-and-white-DSC_2018.jpg408-E15-B055-Blue-and-white-DSC_2022.jpg,,
409,E15,B055,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,188,Lotus panels,Lotus bouquet,1,Rim shard top left,409-E15-B055-Blue-and-white-DSC_2029.jpg409-E15-B055-Blue-and-white-DSC_2031.jpg,,
410,E15,B060,Vases,,B&W,Jingdezhen,Porcelain,Shards,63,,,4,,410-E15-B060-Blue-and-white-DSC_1992.jpg410-E15-B060-Blue-and-white-DSC_1991.jpg,,
411,E15,B060,Vase,,B&W,Jingdezhen,Porcelain,Shard,40,Leaves,,1,Faceted,411-IMG_3997.jpg411-IMG_3996.jpg,,
412,E15,B060,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,153,,Ducks in lotus pond,1,,412-IMG_4034.jpg412-IMG_4033.jpg,,
413,E15,B052,Vase?,,B&W,Jingdezhen,Porcelain,Base shard,22,Lotus petals,,1,Flat base,413-E15-B052-Blue-and-white-DSC_2065.jpg413-E15-B052-Blue-and-white-DSC_2066.jpg,,
424,E15,B054,Guan?,,B&W,Jingdezhen,Porcelain,Shard,150,Lotus panels,,1,Faceted octagonal?,424-E15-B054-Blue-and-white-DSC_2141.jpg424-E15-B054-Blue-and-white-DSC_2142.jpg,,
434,E16,B083,Vase,,R&W,Jingdezhen,Porcelain,Shard,56,Rings clouds,,1,,434-E16-B083-Underglaze-Copper-red-Bottle-Ewer-Vase-DSC_2364.jpg434-E16-B083-Underglaze-Copper-red-DSC_2362.jpg,,
435,E16,B082,Bowl,,B&W,Jingdezhen,Porcelain,Rim shard,26,Lotus scroll,Chrysanthemum scroll,1,,435-E16-B082-Blue-and-white-Bowl-Pattern-Lotus-scroll-DSC_2219.jpg435-E16-B082-Blue-and-white-Bowl-Pattern-Lotus-scroll-DSC_2221.jpg,,
437,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Rim shard,47,Lotus panels lotus scroll,Lotus pond?,1,,437-E16-B084-Blue-and-white-Bowl-Pattern-Lotus-Scroll-DSC_2284.jpg437-E16-B084-Blue-and-white-Bowl-Pattern-Lotus-Scroll-DSC_2286.jpg,,
438,E16,B084,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,92,,Lotus bouquet,1,Shufu shape,438-E16-B084-Blue-and-white-Bowl-Carinate-DSC_2293.jpg438-E16-B084-Blue-and-white-Bowl-Carinate-DSC_2294.jpg,,
439,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Shard,77,Lotus panels with symbols,Lotus pond,1,Unknown symbols,439-E16-B084-Blue-and-white-Bowl-Pattern-Lappet-special-DSC_2305.jpg439-E16-B084-Blue-and-white-Bowl-Pattern-Lappet-special-DSC_2304.jpg,,✓
440,E16,B084,Vase,,B&W,Jingdezhen,Porcelain,Shard,62,Lotus panels scrolls,,1,,440-E16-B084-Blue-and-white-Bottle-Ewer-Vase-DSC_2310.jpg440-E16-B084-Blue-and-white-Bottle-Ewer-Vase-DSC_2311.jpg,,
441,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,234,Lotus panels,Ducks in lotus pond,1,,441-E16-B084-Blue-and-white-Bowl-Pattern-Lotus-Pond-DSC_2316.jpg441-E16-B084-Blue-and-white-Bowl-Pattern-Lotus-Pond-DSC_2315.jpg,,
442,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,410,,Morning glory vines,1,,442-E16-B084-Blue-and-white-Bowl-Pattern-Peony-Scroll-DSC_2326.jpg442-E16-B084-Blue-and-white-Bowl-Pattern-Peony-Scroll-DSC_2325.jpg,,✓
443,E16,B089,Bowl,,B&W,Jingdezhen,Porcelain,Shard,18,Lotus panels,Ducks in lotus pond,1,,443-IMG_4881.jpg443-IMG_4882.jpg,,
444,E16,B084,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,184,Lotus panels,Ducks in lotus pond,1,,444-IMG_3769.jpg444-IMG_3768.jpg,,
454,E16,B083,Cup,Small,B&W,Jingdezhen,Porcelain,Base,17,,Chrysanthemum,1,,454-E16-B083-Blue-and-white-DSC_2371.jpg454-E16-B083-Blue-and-white-DSC_2373.jpg,,
455,E16,B083,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,199,Lotus panels,Ducks in lotus pond,1,,0455-IMG_3737.jpg0455-IMG_3736.jpg,,
460,E16,B082,Vases,,B&W,Jingdezhen,Porcelain,Shards,158,Waves reverse decoration,,4,,460-E16-B082-Blue-and-white-DSC_2418.jpg460-E16-B082-Blue-and-white-DSC_2420.jpg,,✓
461,E16,B082,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base shard,613,Lotus panels,Ducks in lotus pond,4,,0461-IMG_3724.jpg0461-IMG_3725.jpg,,✓
462,E16,B082,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,197,Lotus petals spaced,Fungus scroll,1,,0462-IMG_3687.jpg0462-IMG_3688.jpg,,✓
463,E16,B082,Vase,,B&W,Jingdezhen,Porcelain,Shard,31,Lotus panels scroll,,1,Faceted,463-IMG_3792.jpg463-IMG_3793.jpg,,
